SNO.,YEAR,AGE,OUTCOME,AGECAT,GENDER,LOC
1,2020,17,1,1,1,1
2,2020,17,1,1,1,1
3,2020,17,1,1,1,1
4,2020,17,1,1,1,1
5,2020,17,1,1,1,1
6,2020,17,1,1,1,1
7,2020,17,1,1,1,1
8,2020,17,1,1,1,1
9,2020,17,1,1,1,1
10,2020,17,1,1,1,1
11,2020,17,1,1,1,1
12,2020,17,1,1,1,1
13,2020,17,1,1,1,1
14,2020,17,1,1,1,1
15,2020,17,1,1,1,1
16,2020,17,1,1,1,1
17,2020,17,1,1,1,1
18,2020,17,1,1,1,1
19,2020,17,1,1,1,1
20,2020,17,1,1,1,1
21,2020,17,1,1,1,1
22,2020,17,1,1,1,1
23,2020,17,1,1,1,1
24,2020,17,1,1,1,1
25,2020,17,1,1,1,1
26,2020,17,1,1,1,1
27,2020,17,1,1,1,1
28,2020,17,1,1,1,1
29,2020,17,1,1,1,1
30,2020,17,1,1,1,1
31,2020,17,1,1,1,1
32,2020,17,1,1,1,1
33,2020,17,1,1,1,1
34,2020,17,1,1,1,1
35,2020,17,1,1,1,1
36,2020,17,1,1,1,1
37,2020,17,1,1,1,1
38,2020,17,1,1,1,1
39,2020,17,1,1,1,1
40,2020,17,1,1,1,1
41,2020,17,1,1,1,1
42,2020,17,1,1,1,1
43,2020,17,1,1,1,1
44,2020,17,1,1,1,1
45,2020,17,1,1,1,1
46,2020,17,1,1,1,1
47,2020,17,1,1,1,1
48,2020,17,1,1,1,1
49,2020,17,1,1,1,1
50,2020,17,1,1,1,1
51,2020,17,1,1,1,1
52,2020,17,1,1,1,1
53,2020,17,1,1,1,1
54,2020,17,1,1,1,1
55,2020,17,1,1,1,1
56,2020,17,1,1,1,1
57,2020,17,1,1,1,1
58,2020,17,1,1,1,1
59,2020,17,1,1,1,1
60,2020,17,1,1,1,1
61,2020,17,1,1,1,1
62,2020,17,1,1,1,1
63,2020,17,1,1,1,1
64,2020,17,1,1,1,1
65,2020,17,1,1,1,1
66,2020,17,1,1,1,1
67,2020,17,1,1,1,1
68,2020,17,1,1,1,1
69,2020,17,1,1,1,1
70,2020,17,1,1,1,1
71,2020,17,1,1,1,1
72,2020,17,1,1,1,1
73,2020,17,1,1,1,1
74,2020,17,1,1,1,1
75,2020,17,1,1,1,1
76,2020,17,1,1,1,1
77,2020,17,1,1,1,1
78,2020,17,1,1,1,1
79,2020,17,1,1,1,1
80,2020,17,1,1,1,1
81,2020,17,1,1,1,1
82,2020,17,1,1,1,1
83,2020,17,1,1,1,1
84,2020,17,1,1,1,1
85,2020,17,1,1,1,1
86,2020,17,1,1,1,1
87,2020,17,1,1,1,1
88,2020,17,1,1,1,1
89,2020,17,1,1,1,1
90,2020,17,1,1,1,1
91,2020,17,1,1,1,1
92,2020,17,1,1,1,1
93,2020,17,1,1,1,1
94,2020,17,1,1,1,1
95,2020,17,1,1,1,1
96,2020,17,1,1,1,1
97,2020,17,1,1,1,1
98,2020,17,1,1,1,1
99,2020,17,1,1,1,1
100,2020,17,1,1,1,1
101,2020,17,1,1,1,1
102,2020,17,1,1,1,1
103,2020,17,1,1,1,1
104,2020,17,1,1,1,1
105,2020,17,1,1,1,1
106,2020,17,1,1,1,1
107,2020,17,1,1,1,1
108,2020,17,1,1,1,1
109,2020,17,1,1,1,1
110,2020,17,1,1,1,1
111,2020,17,1,1,1,1
112,2020,17,1,1,1,1
113,2020,17,1,1,1,1
114,2020,17,1,1,1,1
115,2020,17,1,1,1,1
116,2020,17,1,1,1,1
117,2020,17,1,1,1,1
118,2020,17,1,1,1,1
119,2020,17,1,1,1,1
120,2020,17,1,1,1,1
121,2020,17,1,1,1,1
122,2020,17,1,1,1,1
123,2020,17,1,1,1,1
124,2020,17,1,1,1,1
125,2020,17,1,1,1,1
126,2020,17,1,1,1,1
127,2020,17,1,1,1,1
128,2020,17,1,1,1,1
129,2020,17,1,1,1,1
130,2020,17,1,1,1,1
131,2020,17,1,1,1,1
132,2020,17,1,1,1,1
133,2020,17,1,1,1,1
134,2020,17,1,1,1,1
135,2020,17,1,1,1,1
136,2020,17,1,1,1,1
137,2020,17,1,1,1,1
138,2020,17,1,1,1,1
139,2020,17,1,1,1,1
140,2020,17,1,1,1,1
141,2020,17,1,1,1,1
142,2020,17,1,1,1,1
143,2020,17,1,1,1,1
144,2020,17,1,1,1,1
145,2020,17,1,1,1,1
146,2020,17,1,1,1,1
147,2020,17,1,1,1,1
148,2020,17,1,1,1,1
149,2020,17,1,1,1,1
150,2020,17,1,1,1,1
151,2020,17,1,1,1,1
152,2020,17,1,1,1,1
153,2020,17,1,1,1,1
154,2020,17,1,1,1,1
155,2020,17,1,1,1,1
156,2020,17,1,1,1,1
157,2020,17,1,1,1,1
158,2020,17,1,1,1,1
159,2020,17,1,1,1,1
160,2020,17,1,1,1,1
161,2020,17,1,1,1,1
162,2020,17,1,1,1,1
163,2020,17,1,1,1,1
164,2020,17,1,1,1,1
165,2020,17,1,1,1,1
166,2020,17,1,1,1,1
167,2020,17,1,1,1,1
168,2020,17,1,1,1,1
169,2020,17,1,1,1,1
170,2020,17,1,1,1,1
171,2020,17,1,1,1,1
172,2020,17,1,1,1,1
173,2020,17,1,1,1,1
174,2020,17,1,1,1,1
175,2020,17,1,1,0,1
176,2020,17,1,1,0,1
177,2020,17,1,1,0,1
178,2020,17,1,1,0,1
179,2020,17,1,1,0,1
180,2020,17,1,1,0,1
